time;throughput;snd_responsetime;rcv_responsetime
202;2.0;7955.978847;7956.929294
203;13.0;7957.878213;4339.93585155
204;1449.0;63.8682779675;70.6351998704
205;1696.0;24.5353600071;14.2938611805
206;1588.0;27.3422852007;14.3933004876
207;1682.0;23.4391178587;14.9306818459
208;1642.0;26.3390191366;14.0896395453
209;1688.0;24.5812381817;14.1936284389
210;1484.0;27.0041102429;16.7069477294
211;1469.0;30.9335739716;15.197155125
212;1610.0;25.3978617682;15.0588059981
213;1627.0;25.5572037294;14.8441300352
214;1642.0;25.2020933466;14.543526125
215;1616.0;25.4831083108;14.8186004977
216;1692.0;24.0640648963;14.2286283776
217;1670.0;24.5544544399;14.5537063143
218;1404.0;27.9734742965;16.9060634541
219;1607.0;25.421327413;15.5762459035
220;1350.0;29.0912001996;16.0788678389
221;904.0;50.0486455429;27.5516360153
222;1292.0;33.0050758442;17.9450076184
223;2122.0;20.2050876057;10.9492252152
224;1952.0;21.282497242;12.0878372741
225;1755.0;23.1635372144;14.0621619462
226;1712.0;24.2462488138;14.052594909
227;1785.0;24.4824529392;12.2761656496
228;1775.0;24.9959125413;13.3616172775
229;1761.0;22.5292939051;14.0189948617
230;1688.0;25.8783880866;13.6143474109
231;1791.0;23.2511664264;13.2992552403
232;1706.0;24.1562321316;13.9469818407
233;1738.0;24.2154289467;13.7501985623
234;1384.0;22.2045959914;14.5768075229
235;265.0;192.271939722;90.5000634629
236;44.0;137.318626769;87.444693871
237;2.0;7820.74543;1.921531
238;2.0;7821.027178;2.029003
239;2.0;8691.900673;8686.11673
240;2.0;8691.29379;8690.051729
241;2.0;8689.478063;8691.783189
242;2.0;8697.346097;8691.827708
243;2.0;8689.543634;8692.696462
244;30.0;8696.33107689;2901.41000686
245;913.0;113.32921601;34.5729468477
246;1732.0;24.1026457624;14.2449128989
247;1755.0;22.9708779101;13.5513565797
248;1590.0;25.4893266704;15.2118701453
249;1698.0;24.8007403409;14.2719678126
250;1660.0;25.6202722345;14.1827402874
251;1697.0;25.9165403717;13.4716929108
252;1668.0;25.5278482735;13.9092563122
253;1308.0;33.1141194087;17.871397869
254;1644.0;25.6024759744;14.388877948
255;1668.0;25.3972516272;14.0471335495
256;1709.0;24.404945986;14.2916969798
257;1692.0;24.1283186655;14.2749427251
258;1741.0;24.3516547003;13.3632024149
259;1635.0;26.4668345588;14.3679305335
260;1740.0;24.2486956139;13.8415453351
261;1636.0;24.7531573953;14.7700068215
262;1687.0;24.5969832571;14.3013626149
263;1631.0;25.5779131993;14.7821529008
264;1543.0;27.2299565059;14.4498019497
265;1370.0;33.1710560109;17.4141396765
