time;throughput;snd_responsetime;rcv_responsetime
170;1873.0;23.4267221306;12.2017465614
171;1871.0;23.7973978208;12.2794011477
172;1914.0;22.5643669276;11.9848686489
173;1902.0;22.891537337;12.152631753
174;1832.0;23.3451920361;12.552670072
175;1877.0;23.442216984;12.5306011875
176;1810.0;24.1748591658;12.7969499238
177;1806.0;24.4402391405;12.6109568568
178;1801.0;24.4551142126;12.5613697715
179;1858.0;22.6462605942;13.0304075966
180;1767.0;24.3205294024;13.1080808487
181;1887.0;22.3607473136;12.4253638523
182;1728.0;25.2584752513;13.7067904211
183;1878.0;22.8171875628;12.0893544139
184;1840.0;24.4241492308;12.5274017307
185;1814.0;23.2056562492;12.7254076167
186;1743.0;24.7124823784;13.465014585
187;616.0;26.3946576368;14.148685041
188;2.0;3814.122963;3811.420464
189;2.0;3815.25297;3813.872708
190;2.0;3813.956361;3812.771631
191;1559.0;182.922035943;19.042198249
192;1646.0;25.3595612968;14.657977278
193;1900.0;23.1264534137;12.0123516185
194;1772.0;24.0868906397;13.4071794329
195;1833.0;22.2481831522;12.7904420245
196;1707.0;25.6949706243;13.9805349044
197;921.0;39.5307936699;28.9078581772
198;1805.0;23.9255619142;13.0377719575
199;1669.0;23.4964951661;15.2136519121
200;1711.0;25.2310398842;13.3517397897
201;1703.0;25.5238873571;13.624606876
202;291.0;23.3097814316;13.5927065867
203;1078.0;66.9503327239;43.3027628299
204;1282.0;31.8708778019;17.6588491442
205;1858.0;24.5060176484;12.8734684879
206;1586.0;25.6733946435;15.4082049753
207;1744.0;23.5910633859;13.1336034522
208;1649.0;26.3112814174;14.0683745965
209;1842.0;23.7833153764;13.234928515
210;1720.0;24.7810360226;13.6175814101
211;1694.0;25.2759443915;13.9472124321
212;1730.0;24.5122442104;13.5133994528
213;1743.0;24.4199231286;12.9330427812
214;1693.0;25.670453518;14.3822572718
215;1769.0;22.7480393609;14.0676143257
216;1579.0;26.5248939718;14.3726693954
217;1730.0;23.6761966946;14.7875347234
218;1660.0;23.52572432;15.2977271432
219;1786.0;24.4001501728;12.3145463151
220;1629.0;27.6402492367;14.2330638662
221;1741.0;24.5066701831;13.4620069165
